compound_id,standard_inchi_key,compound_name,bioactivities
CHEMBL10,CDMGBJANTYXAIV-UHFFFAOYSA-N,SB-203580,1320
CHEMBL288441,UBPYILGKFZZVDX-UHFFFAOYSA-N,ALSTERPAULLONE 2,1194
CHEMBL261849,MYQAUKPBNJWPIE-UHFFFAOYSA-N,GW-2580,1177
CHEMBL573339,TUVCWJQQGGETHL-UHFFFAOYSA-N,PI-103,1175
CHEMBL1421,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,DASATINIB,1143
CHEMBL572878,GCIKSSRWRFVXBI-UHFFFAOYSA-N,TOZASERTIB,989
CHEMBL939,XGALLCVXEZPNRQ-UHFFFAOYSA-N,GEFITINIB,895
CHEMBL261454,IBCXZJCWDGCXQT-UHFFFAOYSA-N,LY364947,893
CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N,STAUROSPORINE,879
CHEMBL50894,OLUKILHGKRVDCT-UHFFFAOYSA-N,ALSTERPAULLONE,878
CHEMBL608533,BMGQWWVMWDBQGC-IIFHNQTCSA-N,MIDOSTAURIN,873
CHEMBL38380,NGOGFTYYXHNFQH-UHFFFAOYSA-N,FASUDIL,869
CHEMBL573578,GDQXJQSQYMMKRA-UHFFFAOYSA-N,PP1 ANALOG II; 1NM-PP1,855
CHEMBL1336,MLDQJTXFUGDVEO-UHFFFAOYSA-N,SORAFENIB,853
CHEMBL259850,YAEMHJKFIIIULI-UHFFFAOYSA-N,AR-A014418,853
CHEMBL274064,VSPFURGQAYMVAN-UHFFFAOYSA-N,SB-220025,843
CHEMBL257167,SAYGKHKXGCPTLX-UHFFFAOYSA-N,IKK-2 INHIBITOR IV,833
CHEMBL191384,AVLYNJZZQYEFEA-XDJHFCHBSA-N,AS601245,831
CHEMBL258844,BIWGYFZAEWGBAL-UHFFFAOYSA-N,AKT INHIBITOR VIII,825
CHEMBL296586,QQUXFYAWXPMDOE-UHFFFAOYSA-N,KENPAULLONE,813
CHEMBL210618,KQMPRSZTUSSXND-UHFFFAOYSA-N,JNK INHIBITOR VIII,812
CHEMBL554,BCFGMOOMADDAQU-UHFFFAOYSA-N,LAPATINIB,801
CHEMBL97771,DMWVGXGXHPOEPT-UHFFFAOYSA-N,SRC KINASE INHIBITOR I,796
CHEMBL553,AAKJLRGGTJKAMG-UHFFFAOYSA-N,ERLOTINIB,794
CHEMBL302449,VWVYILCFSYNJHF-UHFFFAOYSA-N,GO-6976,792
CHEMBL124660,UXXQOJXBIDBUAC-UHFFFAOYSA-N,TANDUTINIB,779
CHEMBL410456,DPDZHVCKYBCJHW-UHFFFAOYSA-N,,774
CHEMBL21156,VNDWQCSOSCCWIP-UHFFFAOYSA-N,BCP9000906,767
CHEMBL98350,CZQHHVNHHHRRDU-UHFFFAOYSA-N,LY-294002,765
CHEMBL413,QFJCIRLUMZQUOT-HPLJOQBZSA-N,SIROLIMUS,749
CHEMBL17331,BGIYKDUASORTBB-UHFFFAOYSA-N,PD-169316,731
CHEMBL76589,DXVJRTIPBNBLLB-BJMVGYQFSA-N,AG112,731
CHEMBL47940,FMETVQKSDIOGPX-UHFFFAOYSA-N,LCK INHIBITOR,731
CHEMBL522502,IBAKVEUZKHOWNG-UHFFFAOYSA-N,NF-KB ACTIVATION INHIBITOR,731
CHEMBL380071,LLJRXVHJOJRCSM-UHFFFAOYSA-N,RHO KINASE INHIBITOR III; ROCKOUT,731
CHEMBL200381,NMEUKWOOQOHUNA-UHFFFAOYSA-N,TPL2 KINASE INHIBITOR,731
CHEMBL1231533,SRLVNYDXMUGOFI-YWEYNIOJSA-N,PI 3-KG INHIBITOR II,731
CHEMBL77456,UOHFCPXBKJPCAD-UHFFFAOYSA-N,TYRPHOSTIN 1,731
CHEMBL2218932,ZJFMARHFPUZEKI-KMKOMSMNSA-N,PKR INHIBITOR; NEGATIVE CONTROL,731
CHEMBL599894,DPANHMGWPXVBQI-UHFFFAOYSA-N,PDK1/AKT/FLT DUAL PATHWAY INHIBITOR,730
CHEMBL102346,INTPTKHSGKBHHW-UHFFFAOYSA-N,PDGF RECEPTOR TYROSINE KINASE INHIBITOR III,730
CHEMBL278724,MYKGURNPAUBQLJ-UHFFFAOYSA-N,SB202474,730
CHEMBL235658,ODYAQBDIXCVKAE-UHFFFAOYSA-N,CMPD1,730
CHEMBL1802485,ODZGYELAMAOARP-UHFFFAOYSA-N,JNK INHIBITOR; NEGATIVE CONTROL,730
CHEMBL7939,RONQPWQYDRPRGG-UHFFFAOYSA-N,CGP-53353,730
CHEMBL235641,VFBGXTUGODTSPK-BAQGIRSFSA-N,PKR INHIBITOR,730
CHEMBL7724,FQNCLVJEQCJWSU-UHFFFAOYSA-N,AG1295,729
CHEMBL53753,KFHMLBXBRCITHF-UHFFFAOYSA-N,PD158780,729
CHEMBL366266,KIWODJBCHRADND-UHFFFAOYSA-N,PKCB INHIBITOR,729
CHEMBL35482,QFWCYNPOPKQOKV-UHFFFAOYSA-N,PD98059,729
CHEMBL2218934,SQWZFLMPDUSYGV-UXBLZVDNSA-N,ACN-S001855,729
CHEMBL233001,WQGDQGAFSDMBLA-UHFFFAOYSA-N,JNK INHIBITOR IX,729
CHEMBL92461,HBWLNACPIFKNIP-UHFFFAOYSA-N,VEGFR2 KINASE INHIBITOR IV,728
CHEMBL188762,WUPUZEMRHDROEO-UHFFFAOYSA-N,PD174265,728
CHEMBL36450,BHWCZLOXTLWZAQ-UHFFFAOYSA-N,TX010811,727
CHEMBL404939,GYQSWJNGTWVFOL-UHFFFAOYSA-N,MEK INHIBITOR II,727
CHEMBL1363184,NGAGMBNBKCDCDJ-UHFFFAOYSA-N,LY303511,727
CHEMBL111364,VXPWQNBKEIVYIS-UHFFFAOYSA-N,ML3403,727
CHEMBL478629,XHBVYDAKJHETMP-UHFFFAOYSA-N,DORSOMORPHIN,727
CHEMBL266325,CZDUJGOCEPWCNA-UHFFFAOYSA-N,D65476,726
CHEMBL101683,GGPZCOONYBPZEW-UHFFFAOYSA-N,VEGFR KINASE INHIBITOR II,726
CHEMBL313417,YOELZIQOLWZLQC-UHFFFAOYSA-N,SKF-86002,726
CHEMBL473773,CBIAKDAYHRWZCU-UHFFFAOYSA-N,WHI-P154,725
CHEMBL331237,HOGVTUZUJGHKPL-HTVVRFAVSA-N,TRICIRIBINE,725
CHEMBL1331734,KFAKESMKRPNZTM-UHFFFAOYSA-N,GSK-3 INHIBITOR XIII,725
CHEMBL261491,LLJJDLHGZUOMQP-UHFFFAOYSA-N,,725
CHEMBL86943,PMUJUSJUVIXDQC-LCYFTJDESA-N,VEGFR2 KINASE INHIBITOR I,725
CHEMBL221271,RODAAYVFYDKHGT-AUWJEWJLSA-N,AG-L-65527,725
CHEMBL1317546,YHKSBKQXCWHTQL-UHFFFAOYSA-N,DNA-PK INHIBITOR III,725
CHEMBL261131,ZCNBZFRECRPCKU-UHFFFAOYSA-N,DIACYLGLYCEROL KINASE INHIBITOR II,725
CHEMBL2218927,ZGDACLBJJXLKJY-UHFFFAOYSA-N,AGL2043,725
CHEMBL259389,DWHVZCLBMTZRQM-UHFFFAOYSA-N,CDK1/5 INHIBITOR,724
