dtc_molregno,chembl_id,compound_name,standard_inchi_key,bioactivities
DTCC00444871,CHEMBL388978,STAUROSPORINE,HKSZLNNOFSGOKW-FYTWVXJKSA-N,862
DTCC00132413,CHEMBL10,SB-203580,CDMGBJANTYXAIV-UHFFFAOYSA-N,853
DTCC00610717,CHEMBL595143,,CVMUHXWSBHMVGZ-UHFFFAOYSA-N,677
DTCC00610831,CHEMBL604483,,RGGYJEYZTPRESN-UHFFFAOYSA-N,677
DTCC00610718,CHEMBL595373,,ZIJIMHMKDXTURQ-UHFFFAOYSA-N,677
DTCC00132982,CHEMBL413,SIROLIMUS,QFJCIRLUMZQUOT-HPLJOQBZSA-N,522
DTCC00208039,CHEMBL302449,GO-6976,VWVYILCFSYNJHF-UHFFFAOYSA-N,505
DTCC00251748,CHEMBL91829,RUBOXISTAURIN,ZCBUQCWBWNUWSU-SFHVURJKSA-N,451
DTCC00143075,CHEMBL535,SUNITINIB,WINHZLLDWRZWRT-ATVHPVEESA-N,443
DTCC00196411,CHEMBL50894,ALSTERPAULLONE,OLUKILHGKRVDCT-UHFFFAOYSA-N,440
DTCC00622013,CHEMBL602937,FASCAPLYSIN,WYQIPCUPNMRAKP-UHFFFAOYSA-O,440
DTCC00619198,CHEMBL596674,,JSASWRWALCMOQP-UHFFFAOYSA-N,440
DTCC00628526,CHEMBL1076555,,ZFGXZJKLOFCECI-UHFFFAOYSA-N,440
DTCC00178080,CHEMBL35820,,YXOXHAUUTIOBDA-UHFFFAOYSA-N,440
DTCC00177846,CHEMBL288064,,ZRHRPGSSSVYBRG-UHFFFAOYSA-N,440
DTCC01096286,CHEMBL1802728,,XHEQSRJCJTWWAH-UHFFFAOYSA-N,440
DTCC01096285,CHEMBL1802727,,RKUMZEVCWKZXFV-LCLDVOFVSA-N,440
DTCC01096041,CHEMBL1802485,,ODZGYELAMAOARP-UHFFFAOYSA-N,440
DTCC01059384,CHEMBL1725279,SP-600125,KRIUNPBAQZGFQA-UHFFFAOYSA-N,440
DTCC01304485,CHEMBL2218926,,ABBADGFSRBWENF-UHFFFAOYSA-N,440
DTCC01304486,CHEMBL2218927,,ZGDACLBJJXLKJY-UHFFFAOYSA-N,440
DTCC01304487,CHEMBL2218925,,RFHPWPWVGFSLOP-NTEUORMPSA-N,440
DTCC01304488,CHEMBL2218929,,IQNTXIMXKCURDC-MHWRWJLKSA-N,440
DTCC01304489,CHEMBL2218930,,ZXGIBSBJQLLUEE-UHFFFAOYSA-N,440
DTCC01304490,CHEMBL2218931,,CMKMGFAUKPAOMG-CQSZACIVSA-N,440
DTCC01304491,CHEMBL2218932,,ZJFMARHFPUZEKI-KMKOMSMNSA-N,440
